xml.source;xml.value;xml.lib;json.source;json.value;commentaire
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;26;Radiateur monotube sans robinet thermostatique sur reseau individuel eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_monotube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;27;Radiateur monotube sans robinet thermostatique sur reseau individuel eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_monotube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;28;Radiateur monotube avec robinet thermostatique sur reseau collectif eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_monotube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;29;Radiateur monotube avec robinet thermostatique sur reseau collectif eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_monotube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;30;Radiateur monotube avec robinet thermostatique sur reseau individuel eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_monotube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;31;Radiateur monotube avec robinet thermostatique sur reseau individuel eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_monotube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;32;Radiateur bitube sans robinet thermostatique sur reseau collectif eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;33;Radiateur bitube sans robinet thermostatique sur reseau collectif eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;34;Radiateur bitube sans robinet thermostatique sur reseau individuel eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;35;Radiateur bitube sans robinet thermostatique sur reseau individuel eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;36;Radiateur bitube avec robinet thermostatique sur reseau collectif eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;37;Radiateur bitube avec robinet thermostatique sur reseau collectif eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;38;Radiateur bitube avec robinet thermostatique sur reseau individuel eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;39;Radiateur bitube avec robinet thermostatique sur reseau individuel eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;radiateur_bitube;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;40;Convecteur bi-jonction;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;41;Autres equipements;/chauffage/emetteur/type;radiateur;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;42;Soufflage d'air chaud (air souffle) avec distribution par fluide frigorigene;/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;43;Plancher chauffant avec distribution par fluide frigorigene (plancher chauffant à detente directe);/chauffage/emetteur/type;plancher_chauffant;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;44;Plafond chauffant avec distribution par fluide frigorigene (Plafond chauffant à detente directe);/chauffage/emetteur/type;plafond_chauffant;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;45;Radiateur avec distribution par fluide frigorigene (à detente directe);/chauffage/emetteur/type;radiateur;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;46;Soufflage d'air chaud (Ventiloconvecteur) sur reseau collectif eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;47;Soufflage d'air chaud (Ventiloconvecteur) sur reseau collectif eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;48;Soufflage d'air chaud (Ventiloconvecteur) sur reseau individuel eau chaude haute temperature(sup ou egal 65°C);/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;49;Soufflage d'air chaud (Ventiloconvecteur) sur reseau individuel eau chaude basse ou moyenne temperature(inf 65°C);/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;50;Soufflage d'air chaud sans reseau de distribution (ventiloconvecteur electrique);/chauffage/emetteur/type;;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;24;Radiateur monotube sans robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;25;Radiateur monotube sans robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;26;Radiateur monotube sans robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;27;Radiateur monotube sans robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;28;Radiateur monotube avec robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;29;Radiateur monotube avec robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;30;Radiateur monotube avec robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;31;Radiateur monotube avec robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;32;Radiateur bitube sans robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;33;Radiateur bitube sans robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;34;Radiateur bitube sans robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;35;Radiateur bitube sans robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;36;Radiateur bitube avec robinet thermostatique sur réseau collectif eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;37;Radiateur bitube avec robinet thermostatique sur réseau collectif eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;38;Radiateur bitube avec robinet thermostatique sur réseau individuel eau chaude haute température(sup ou egal 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_emission_distribution_id;39;Radiateur bitube avec robinet thermostatique sur réseau individuel eau chaude basse ou moyenne température(inf 65°C);/chauffage/emetteur/presence_robinet_thermostatique;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;1;Absent;/chauffage/installation/regulation_terminale/minimum_temperature;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;2;Central sans minimum de temperature;/chauffage/installation/regulation_terminale/minimum_temperature;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;3;Central avec minimum de temperature;/chauffage/installation/regulation_terminale/minimum_temperature;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;4;Par piece avec minimum de temperature;/chauffage/installation/regulation_terminale/minimum_temperature;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;5;Par piece avec minimum de temperature et detection de presence;/chauffage/installation/regulation_terminale/minimum_temperature;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;6;central collectif;/chauffage/installation/regulation_terminale/minimum_temperature;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;7;central collectif avec detection de presence;/chauffage/installation/regulation_terminale/minimum_temperature;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_regulation_id;1;sans régulation pièce par pièce;/chauffage/installation/regulation_terminale/presence_regulation;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_type_regulation_id;2;avec régulation pièce par pièce;/chauffage/installation/regulation_terminale/presence_regulation;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;1;Absent;/chauffage/installation/regulation_terminale/detection_presence;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;2;Central sans minimum de temperature;/chauffage/installation/regulation_terminale/detection_presence;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;3;Central avec minimum de temperature;/chauffage/installation/regulation_terminale/detection_presence;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;4;Par piece avec minimum de temperature;/chauffage/installation/regulation_terminale/detection_presence;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;5;Par piece avec minimum de temperature et detection de presence;/chauffage/installation/regulation_terminale/detection_presence;1;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;6;central collectif;/chauffage/installation/regulation_terminale/detection_presence;0;
logement/installation_chauffage_collection/installation_chauffage/emetteur_chauffage_collection/emetteur_chauffage/donnee_entree/enum_equipement_intermittence_id;7;central collectif avec detection de presence;/chauffage/installation/regulation_terminale/detection_presence;0;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;1;Électricité;/chauffage/generateur/energie;electricite;
logement/installation_chauffage_collection/installation_chauffage/generateur_chauffage_collection/generateur_chauffage/donnee_entree/enum_type_energie_id;2;Gaz naturel;/chauffage/generateur/energie;gaz_naturel;
