xml.source;xml.value;json.path;json.value
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;1;/logement/type;T1
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;2;/logement/type;T2
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;3;/logement/type;T3
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;4;/logement/type;T4
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;5;/logement/type;T5
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;6;/logement/type;T6
dpe_immeuble/logement_visite_collection/logement_visite/enum_typologie_logement_id;7;/logement/type;T7
