xml.source;xml.value;json.path;json.value
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_isolation_id;7;/enveloppe/plancher_bas/isolation/type;itr_iti
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_isolation_id;8;/enveloppe/plancher_bas/isolation/type;itr_ite
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_isolation_id;9;/enveloppe/plancher_bas/isolation/type;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;1;/enveloppe/plancher_bas/type_structure;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;2;/enveloppe/plancher_bas/type_structure;plancher_avec_ou_sans_remplissage
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;3;/enveloppe/plancher_bas/type_structure;plancher_entre_solives_metalliques
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;4;/enveloppe/plancher_bas/type_structure;plancher_entre_solives_bois
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;5;/enveloppe/plancher_bas/type_structure;plancher_bois_sur_solives_metalliques
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;6;/enveloppe/plancher_bas/type_structure;bardeaux_et_remplissage
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;7;/enveloppe/plancher_bas/type_structure;voutains_sur_solives_metalliques
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;8;/enveloppe/plancher_bas/type_structure;voutains_briques_ou_moellons
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;9;/enveloppe/plancher_bas/type_structure;dalle_beton
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;10;/enveloppe/plancher_bas/type_structure;plancher_bois_sur_solives_bois
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;11;/enveloppe/plancher_bas/type_structure;plancher_lourd_type_entrevous_terre_cuite_ou_poutrelles_beton
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;12;/enveloppe/plancher_bas/type_structure;plancher_entrevous_isolant
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_plancher_bas_id;13;/enveloppe/plancher_bas/type_structure;
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;1;/enveloppe/plancher_bas/position/mitoyennete;exterieur
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;2;/enveloppe/plancher_bas/position/mitoyennete;enterre
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;3;/enveloppe/plancher_bas/position/mitoyennete;vide_sanitaire
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;4;/enveloppe/plancher_bas/position/mitoyennete;local_non_residentiel
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;5;/enveloppe/plancher_bas/position/mitoyennete;enterre
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;6;/enveloppe/plancher_bas/position/mitoyennete;sous_sol_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;7;/enveloppe/plancher_bas/position/mitoyennete;local_non_accessible
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;8;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;9;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;10;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;11;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;12;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;13;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;14;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;15;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;16;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;17;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;18;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;19;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;20;/enveloppe/plancher_bas/position/mitoyennete;local_non_residentiel
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;21;/enveloppe/plancher_bas/position/mitoyennete;local_non_chauffe
logement/enveloppe/plancher_bas_collection/plancher_bas/donnee_entree/enum_type_adjacence_id;22;/enveloppe/plancher_bas/position/mitoyennete;local_residentiel
